2023-08-14 23:02:27.382 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-08-14 23:02:27.449 [main] INFO  io.devpl.generator.DevplMain8088 - Starting DevplMain8088 using Java 17.0.4 with PID 10336 (C:\Users\vonline\Documents\GitHub\devpl-backend\devpl-server\target\classes started by vonline in C:\Users\vonline\Documents\GitHub\devpl-backend)
2023-08-14 23:02:27.450 [main] INFO  io.devpl.generator.DevplMain8088 - The following 1 profile is active: "dev"
2023-08-14 23:02:29.407 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8088 (http)
2023-08-14 23:02:29.425 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
2023-08-14 23:02:29.426 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-08-14 23:02:29.427 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2023-08-14 23:02:29.564 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/devpl] - Initializing Spring embedded WebApplicationContext
2023-08-14 23:02:29.564 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1919 ms
2023-08-14 23:02:31.358 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
2023-08-14 23:02:31.392 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path '/devpl'
2023-08-14 23:02:31.404 [main] INFO  io.devpl.generator.DevplMain8088 - Started DevplMain8088 in 4.59 seconds (process running for 6.756)
